Data;BET;BET-NG (Energy);BET-FI (Financial);WIG;WIG IT;WIG ENERGY;WIG OIL&GAS;WIG FOOD;WIG CONSTRUCTION;WIG BANKS;WIG MEDIA;WIG CHEMICALS;BUX;BUMIX;PX;SOFIX;BG REIT
31-dec-2016;7.085,050;588,150;29.710,630;51.754,030;2.155,400;2.551,210;5.668,840;4.154,320;2.857,410;6.263,330;4.561,930;13.755,900;32.003,050;1.939,570;921,610;586,430;108,110
31-ian-2017;7.517,850;643,230;31.343,700;55.232,320;2.278,960;2.680,310;5.436,530;4.918,650;3.158,510;6.839,040;4.857,260;16.201,950;32.481,290;1.943,410;932,460;602,280;107,340
28-feb-2017;7.969,940;673,310;31.860,400;58.300,370;2.321,990;2.866,110;6.316,140;4.891,790;3.411,860;7.241,320;5.113,420;16.338,330;32.061,330;1.980,220;953,920;611,120;107,830
31-mar-2017;8.069,340;698,020;31.925,860;57.911,310;2.359,400;2.876,200;6.561,690;4.577,120;3.518,620;6.991,740;5.167,540;16.091,270;31.634,260;2.057,390;981,150;633,990;108,590
30-apr-2017;8.230,460;712,630;31.604,400;61.644,560;2.372,020;2.868,070;7.496,410;4.611,430;3.625,770;7.484,970;5.176,430;16.090,560;32.956,300;2.062,420;1.007,870;657,290;108,390
31-mai-2017;8.769,410;765,240;33.308,880;60.092,070;2.284,170;2.762,750;6.931,670;4.594,060;3.382,100;7.421,430;5.290,190;15.153,040;34.551,900;2.149,050;1.002,380;661,230;111,120
30-iun-2017;7.855,360;655,110;32.482,320;61.018,360;2.287,840;3.037,520;7.128,310;4.473,780;3.470,780;7.261,870;5.126,770;14.778,710;35.205,420;2.579,100;980,410;703,460;113,780
31-iul-2017;8.276,550;684,310;33.712,800;62.595,760;2.148,840;3.341,390;7.126,080;4.416,970;3.298,250;7.645,880;5.233,790;14.820,180;35.769,870;2.708,930;1.009,040;715,210;115,010
31-aug-2017;8.052,030;678,260;35.739,250;64.973,760;2.110,980;3.529,040;7.805,320;4.152,460;3.262,120;7.609,010;5.171,140;15.363,720;38.092,260;2.916,860;1.022,270;705,440;115,330
30-sept-2017;7.877,920;675,310;37.413,560;64.289,690;2.095,180;3.361,720;7.996,110;3.904,560;3.125,870;7.450,510;4.887,600;16.814,670;37.290,650;3.017,120;1.045,170;688,110;114,880
31-oct-2017;7.842,760;672,870;36.494,720;64.866,570;2.105,090;3.240,200;8.364,710;3.617,830;2.756,350;7.727,270;4.675,890;15.812,100;39.611,640;3.584,740;1.065,610;671,410;115,880
30-nov-2017;7.796,210;667,590;38.466,900;62.440,310;2.010,240;2.961,370;7.281,190;3.583,980;2.784,430;8.142,060;4.746,900;15.214,580;38.673,730;4.145,210;1.059,270;665,030;113,990
31-dec-2017;7.753,740;651,630;39.643,350;63.746,200;2.041,800;2.990,570;7.140,430;3.627,590;2.819,160;8.481,970;4.791,340;15.297,930;39.377,310;4.299,130;1.078,160;677,450;116,100
31-ian-2018;8.370,460;707,950;43.056,330;66.048,170;2.115,130;2.932,590;7.341,310;3.939,790;2.806,660;8.920,770;5.001,960;15.780,060;40.188,510;4.134,760;1.130,910;712,730;115,410
