;SOFIX;BG REIT
21-feb-2022;621,37;166,32
18-feb-2022;624,08;166,09
17-feb-2022;623,99;165,78
16-feb-2022;623,39;165,85
15-feb-2022;621,02;165,49
14-feb-2022;622,07;166,59
11-feb-2022;622,52;164,49
10-feb-2022;623,15;164,38
09-feb-2022;629,29;164,79
08-feb-2022;629,25;165,38
07-feb-2022;630;165,31
04-feb-2022;626,52;165,10
03-feb-2022;625,36;165,02
02-feb-2022;625,53;165,59
01-feb-2022;620,33;165,48
31-ian-2022;618,53;166,69
28-ian-2022;614,44;166,20
27-ian-2022;611,71;166,62
26-ian-2022;610,9;166,44
25-ian-2022;613,72;165,77
24-ian-2022;609,94;166,23
21-ian-2022;627,18;167,25
20-ian-2022;634,56;168,15
19-ian-2022;631,58;167,53
18-ian-2022;639,36;167,95
17-ian-2022;646,14;168,02
14-ian-2022;643,66;167,33
13-ian-2022;648,19;164,73
12-ian-2022;647,06;161,80
11-ian-2022;650,71;162,13
10-ian-2022;648,57;161,73
07-ian-2022;647,18;161,01
06-ian-2022;646,97;161,67
05-ian-2022;643,67;161,78
04-ian-2022;634,82;161,55
30-dec-2021;635,68;163,98
29-dec-2021;641,24;165,04
23-dec-2021;633,31;164,36
22-dec-2021;631,27;163,79
21-dec-2021;635,57;163,79
20-dec-2021;631,87;163,61
17-dec-2021;619,55;162,79
16-dec-2021;622,32;162,67
15-dec-2021;608,28;162,54
14-dec-2021;607,97;163,49
13-dec-2021;609,48;164,01
10-dec-2021;613,34;164,30
09-dec-2021;620,39;164,30
08-dec-2021;621,73;164,30
07-dec-2021;627,19;164,63
06-dec-2021;624,64;164,34
03-dec-2021;624,54;164,93
02-dec-2021;619,87;165,37
01-dec-2021;616,8;165,04
30-nov-2021;622,72;165,81
29-nov-2021;622,22;165,81
26-nov-2021;618,47;165,81
25-nov-2021;627,19;165,99
24-nov-2021;621,07;165,90
23-nov-2021;623,78;166,20
22-nov-2021;621,35;165,70
19-nov-2021;612,08;164,69
18-nov-2021;604,52;166,14
17-nov-2021;608,61;166,11
16-nov-2021;611,23;166,53
15-nov-2021;606,08;166,41
12-nov-2021;608,55;165,47
11-nov-2021;602,87;165,02
10-nov-2021;603,7;164,68
09-nov-2021;598,77;164,91
08-nov-2021;601,44;164,61
05-nov-2021;603,84;164,71
04-nov-2021;599,69;164,26
03-nov-2021;598,86;163,68
02-nov-2021;590,22;163,06
01-nov-2021;583,28;163,23
29-oct-2021;583,95;163,11
28-oct-2021;577,36;160,50
27-oct-2021;575,61;160,44
26-oct-2021;571,9;160,37
25-oct-2021;571,66;158,40
22-oct-2021;574,78;158,40
21-oct-2021;576,1;158,59
20-oct-2021;572,66;160,57
19-oct-2021;581,18;160,57
18-oct-2021;578,72;160,70
15-oct-2021;574,94;160,45
14-oct-2021;572,99;161,64
13-oct-2021;572,57;161,39
12-oct-2021;569,25;161,39
11-oct-2021;570,64;160,52
08-oct-2021;571,93;160,23
07-oct-2021;566,84;159,94
06-oct-2021;573,06;160,38
05-oct-2021;573,55;160,90
04-oct-2021;570,68;161,76
01-oct-2021;581,79;161,54
30-sept-2021;585,36;162,20
29-sept-2021;580,76;161,70
28-sept-2021;570,1;160,76
27-sept-2021;571,8;160,65
24-sept-2021;564,03;161,58
23-sept-2021;561,58;161,69
21-sept-2021;560,72;162,26
20-sept-2021;553,69;161,62
17-sept-2021;556,43;161,11
16-sept-2021;561,86;162,18
15-sept-2021;566,9;163,71
14-sept-2021;566,07;163,33
13-sept-2021;565,83;163,43
10-sept-2021;563,08;163,48
09-sept-2021;566,12;163,42
08-sept-2021;565,43;163,13
07-sept-2021;565,4;163,13
03-sept-2021;560,71;161,39
